Body,aspect_terms
"Quiero registrar un abono.
Factura total 60.00
Abono a cuenta 30.00

Vuando introduzco el 30.00 me lo marca así 0.30 centavos.
Como se corrige eso. Ayuda por favor","Subscription, Transactions"
As a small business QuickBooks online works great for me. Being able to access all of my business information from all my devices is awesome!,
Great customisable reporting,
Just started my business and so far liking what I’m seeing. The app is pretty neat.,
When I try to reset my password I didn't receive a text in my phone with security code and very hard to connectt the bank accounts,
"Fiz uma pergunta sobre cancelar assinatura e responderam algo na com nada. Será que vocês podem responder como cancelo a assinatura, pois não utilizarei o app? 
Aguardo um retorno 
Obrigado",App
We use it for our plumbing company. However it would be really cool if quickbooks could somehow link to contacts so that when return customers call we know who it is.,Expenses
I love QBO but the app is useless. It’s like a completely separate universe where nothing shows up as set up in QBO. Reports are limited and custom reports aren’t there. I can’t see something basic like checkbook register.,"App, Quality"
"When I create an invoice from this app, it doesn’t select the correct county even when I manually change it. It causes it to transfer back to desktop version as the wrong county when saved and will not account for that county. PLEASE FIX","Invoicing, App, Quality"
Best way to invoice my customers,"Invoicing, Estimates"
"I really like the app, but it is very pricey.",App
"Everything appears to be top-notch, and still you actually start clicking around and trying to work with your data.

Example: I just deposited a check on the road. It was for an invoice. I went in to my refreshed account, clicked on the invoice, and attempted to market as “paid.“ A recurring error keeps popping up, every single time I try this, saying it won’t work. (“ ‘go to the help section“it says, which of course is no help at all)

I really wanted to love this app because golly it is slick looking.",Invoicing
I need to be able to run credit card payments in the ios app. Also need the ability to send statements. And I need the ability to interface with your credit processing people in a way other than phone. I had a customer dispute a charge and the only way to deal with it is to get bounced back and forth between offices in Canada and U.S. with no results. And this happens everytime I have credit card services issues.,"App, Quality"
Very easy to use but would like more design layout of a custom invoice,Invoicing
I keep getting marketing emails even though I unsubscribed from all. I’m going to have to find an alternative,
"I would love to say I love the app. We use both desktop and the app, and unfortunately the app somehow deletes payments made to invoices when applied.  They just are not there when I have clearly applied the payment days ago and now it says customer is overdue and has not paid.  This makes things very confusing and is not good for the service based business owner who is not at a desktop during the day. I’m kind of regretting purchasing quickbooks for our business all together. Our books have been a mess and we’ve had to hire a bookkeeper just to clean them up.",App
"This is not software. It’s ransomware. Every two or three years they make it break and force you to upgrade. The upgrade is the same price as buying it new. 
The online version is just as bad. When I started using it it was $15 a month and now it’s $40 a month.  
Be smart and don’t become a slave to intuit company.",
You can’t really do anything productive in this application. It’s extremely limited in functionality.,
QBO is useless. Can’t login with Google account. Forces me to create a new/separate password. Can’t really access QBO via a browser on iPad. Overall terrible experience. I’m sure it’s equally Apple and QBO fault.,Quality
"The perfect accounting platform.  Easy to use, fast and simple.",Experience
"I love the app but it takes so much more time than through Safari, enter or tab should move through fields looking forward to this fix",App
Started using it 2 months ago it’s amazing and so easy to use highly recommended system,
Great app! My business couldn’t function without it!,
"I’ve been using QB for years and to be truthful, 2019 is replacing my 2014 version. I’ve yet to figure out how to enter checks and I can’t even find “Add New Company” much less work on a check register. I sure do feel stupid.",
Have not regretted this purchase at all. Will forever be a QuickBooks user.,Experience
"When I switch from logging in online to the iPad or iPhone, the app doesn't seem to be updated with the new information. Case in point, my credit card was hacked so I had to update my account info on all my subscriptions that used that number. I received a notice form qb that my account was suspended. Apparently it isn't possible to update the subscription info from the app, so I did it online. Now when I open the app it still says my account is suspended. One of many glitches that exist between the app and the online experience. Needs to be streamlined! Every other app just re-ran the billing info and automatically updated to the CC replacement number. All QB is able to do is create frustration and berate the customer by suspending his account. 

Also requires too many clicks to achieve objectives. Frequently crashes when trying to import a customer.","Subscription, App, Quality"
Not easy and not quick. Out of all the invoice apps I’ve used this has been the most awkward,
Love it!!,
But..... I didn’t appreciate the daily phone calls asking if I needed help .... I just wanted an app that would let me do my own thing and not feel harassed,App
"Intuit Quickbooks will not be #backingyou  After using this company for about 5 years for wholesale transactions both big and small domestically I used them for an overseas order. After in hindsight the order was from a fraudulent shipper requested by a purchaser they ran away with the money and the purchaser issued chargebacks to my account. Due to this Quickbooks Intuit now refuses services to me and didn’t have my back after I filed complaints about purchaser and invested in labor, inventory, and equipment for the order. Quickbooks also performed the chargeback from my account instead of protecting me and giving my private information to a 3rd party. My reputation is ruined, my company was almost ruined, and my identity was stolen and recked thanks to them complying with false chargebacks. They stuck to the overpaid talking point of “as a proprietary company we have the right to refuse service due to a business decision” as they kept referring me to employees who had no knowledge or history in dealing with my case. At the end they refuse to tell me why they refuse service to me when I WAS THE VICTIM! They betrayed their own customer for 5 years!!!","Transactions, Quality"
"After last update june 12 2019 keep crashing. New update came just an hour ago still same crash???!!!Doesn’t launch the app. 
Please fix asap pleasseeee",App
"I would not recommend QuickBooks to anyone.  I have experiences extremely bad customer service.  Despite providing to them that I have paid my subscription, and showing them evidence that the renewal of the subscription is valid until mid June, they are still not convinced and are refusing to activate my service.

I am going to provide a negative review every day until I get a result.  Appaling service.  Ive never experienced anything this bad in my life.  For weeks now I am unable to invoice my clients.

I do not recommend QuickBooks.  Avoid them.

Glen Walters.","Customer Service, Transactions, Subscription, Invoicing"
Crashing when trying to take credit card payments. Not very helpful.,
Latest update broke credit card processing on multiple devices we use for our business. Update fix is taking much longer than it should.,Tax
Ever since last update it crashes when I try to run a credit card. Was talking with customer support for an hour and all she could say is I understand. When I asked to speak to a manager the line was disconnected,"Quality, Customer Service"
"I’ve been a loyal customer to QB for over 10 years. Recently added a new company and transferred over my customers. Have not been able to generate statements for them....it’s been ongoing for 5 months with no resolution. Other than that it’s been great, just very frustrated that they can not figure this problem out!!",Subscription
"I have an iPhone 8 and all of a sudden this app stops working. I call QuickBooks and they can’t fix it. They closed the case in one day. Don’t walk away from this company, run away.","App, Quality"
It’s taking a bit of getting used to but the more I use it the move I’m falling in love with it. It is so much easier than MYOB,
This app doesn’t support my bank (becu) si in that case it’s worthless to me. Please refund my money thank you!,App
Had to key in a credit card thru the computer because the app keeps crashing and doesn’t let you charge a card.  Will change my review after they fix the issue.,Transactions
Since the last update you cannot run credit cards on the app. It crashes immediately when you attempt to. My business uses QB on 25 devices. All crash when taking payments. This has caused a massive issue for us and clients. Beware of putting too many eggs in the basket of a company that can be sloppy with the interface they sell you.,"Updates, Quality"
I used to love this app. The last couple of months the app crashes daily and multiple times. I’m in the middle of working and the app says critical updates are needed and logs me out. I’m extremely frustrated with this considering I pay over $20/month to use this software across all my devices. No resolution or contact from customer service. It happens almost weekly. What a nightmare. Looking for alternatives.,"App, Customer Service, Experience"
"QuickBooks is one of the best accounting tools out there...

However this app is very limited.

iPad is a very powerful device. But this app doesn't take advantage of that. Things like: 
* auto save invoices to the files app
* option to choose payment type
* when you paste an email from the email apps, it doesn't recognize those emails..
* Option to add company stamp and seal to the invoices","App, Invoicing"
"Have identified at least these so far:

1 - automatically snap the photo once the borders of the receipt have been delineated by the software (like every other app of its kind since forever). Or create a toggle for auto/ manual (see app recommendation below).

2 - in Crop mode make the borders themselves draggable, not just the corners (makes it easier to maintain perspective/ prevent warping; see app recommendation below).

3 - add automatic image enhancement you can undo (broken record, see below).

Put devs with ownership of this feature onto looking at the dozen well-executed receipt scan apps out there, and emulate. In my humble opinion Scannable by Evernote has the strongest UX/ best productivity, though it is not accounting-specific. Suggest emulating this minimalist approach (which you are already doing): all the number crunching happens elsewhere within the Quickbooks app already. Scanner is a pure scanner and that’s it, not an expense categorizer, note taker, etc. Focus, make it the best scanner it can be with no muddying of that mission. Could consider an integration with Evernote/ licensing (“Powered by Evernote”). I am sure millions of users are using both to handle their business paper. Cross-promote, form strategic alliance.

Hope this helps. Will update this review upon implementation.","Receipt Capture, Quality, Expenses"
This is so different than QBO that it renders itself useless. I cannot rely on it for any accurate information. The only feature that is good is the receipt capture.,"Quality, Receipt Capture"
"After last update keep crashing. New update came just an hour ago still same crash???!!!Doesn’t launch the app. 
Please fix asap pleasseeee",App
"This used to be a superb IPhone app. Then Quickbooks removed the functionality for accountants to inspect their clients’ profit and loss accounts and balance sheets within the app. The IPhone app developed other errors included restricted functionality when switching between our clients within the app. 
Here is what happened earlier this year when I complained about Quickbooks in a public space such as here in the AppStore, or on Trustpilot. Firstly Quickbooks tried to kill the problem with kindness writing to me publicly to make it look like they were addressing the problem. Secondly they then emailed privately, but deployed their non-English speaking staff who failed to understand the problem. Thirdly when they eventually realised the seriousness of the problem they deployed the correct people who then promised to rectify the problem within a series of timescales, all of which were extended time after time. Eventually the problem remained unaddressed and the specialist staff became uncontactable probably through embarrassment at their various failures to solve the issues. I have email after email after email after email proving all this, promising that these serious problems would be rectified. My conclusion remains the Quickbooks iPhone App is potentially a great product, but if you are a Chartered Accountant currently wanting to use this app to help your clients, FORGET IT. Look at Sage or Xero.","App, Quality, Experience"
They lie about the app and what u can do with it.  Run away fast.,
"Some things aren’t available on the app, like editing your invoices.","App, Invoicing"
"QuickBooks is quick learning, I was looking for such self learning application, and I found it in QuickBooks. This is amazing and perfect not only for learner’s but for professionals too. Keep it up.",
"Poco intuitiva. Como contable, no le encuentro ninguna utilidad... hay de mejores.",
"After last update keep crashing. Doesn’t launch the app
Please fix asap","Quality, Transactions"
"After last update keep crashing. New update came just an hour ago still same crash???!!!Doesn’t launch the app
Please fix asap",App
"Apple has Quickbooks featured in a “Streamline Your Business” section. Laughable. 

Quickbooks is a nightmare of interface, usability, and pricing. Yet the accountant lock-in assures its continued existence. 

Take pricing, for example. With the desktop versions, one can have multiple companies, something many small businesses do for legal reasons. Quickbooks online? Forget it. You’ll need an actual separate subscription for EACH COMPANY! Truly ridiculous. Why not just enable multi-company support for companies registered to the same email?

This is just one tiny example of the lack of attention to design and price gouging of which Intuit is famous. 

Fortunately, there are more and more viable alternatives. Use the Google, Luke. 

Tell your account that they are just going to have to deal with whatever accounting software you choose. If they are a Quickbooks only shop, find another accountant.","Experience, Subscription, Customer Service, Quality"
Intuit is increasing the price of Quickbooks by 25% the next billing period. I think this in unprecedented. I’m highly dissatisfied.,Quality
"Intuit is increasing the price of Quickbooks by 25% the next billing period. The app doesn’t support key functions that you can access online, for example adding multiple email addresses to one invoice.","App, Customer Service"
Excellent product!,
I wish there was a way we could charge credit cards that are already on file,
I need to take the pictures first and upload them to QB it used to take the picture in the QB.,Receipt Capture
Over priced,
"It’s a hassle to figure out how to say no to the ads without accidentally buying something. That applies to iPad and web version.  

The iPad has limited features compared to the web version.

If you pay for QB Online, you will forever be a small business, working for Intuit.",Quality
"I am on an iPhone 6S and running the most recent iOS.  Every time I try to accept my transactions in my bank account, I get through a few then the app shuts down.","Invoicing, Transactions"
This app is terrible.  It doesn’t allow me to do anything that I need to day to day and then I have to go back at the end of the month and redo almost everything I have done for the month.  Waste of money and time.  An excel spreadsheet is more accurate.,App
"The app wouldn’t allow me to accept payment without my giving it geo location. WHY DO YOU NEED IT, other than to use it in ways completely unrelated to my bookkeeping?  The app was already near useless. Good bye QB app!",App
"As of 7/1/19 the new Quickbooks Online price will be $70/month. Considering the lack of functionality of the app. and the bugs that never get fixed on the desktop clients, I would recommend going back to the desktop version. Let’s see....the desktop QBooks Premier version can be used and supported for 3 years at a discounted cost of $350-400. The online version will cost you $2520 for 3 years. You decide whether you want to reward Intuit for the bait and switch approach of luring you away from the desktop version and then clobbering you with price increases from $30 to $50 and now $70 for the online semi-functional version.","App, Quality, Dashboard"
Good to make business easy,
Very good,
"Great app and accounts program -  easy to use after a small amount of training. 
So far I haven’t come across any of those annoying bugs you get in other accounts apps","App, Transactions, Quality"
The latest desktop version always signs out after some minutes or after a network change. That's not good because I need to use it continuously. It was not like this in the previous versions.,
"I really like QBs. Sometimes I cannot send invoices or edit. A message pops up saying that ‘try again later’. 
I would like to use my own design for my invoices instead of the very simple format I can only use in their system.",Invoicing
I have been unable to see my profits and loss on the app for months now and often the app does not let me log in.  I get constant errors.  I have spent hours with tech support on the phone all they say is “it’s a known bug”.  They have not been able to tell me for months when will the app work again.,"App, Quality, Customer Service"
Perfect for running your business.,
"Most of the main features I need aren’t in the app. Lots of features I never use are in the app. No bill payment, no upcoming bills showing up in checking register like it does on mine. No credit memos.",App
"The APP is good fir me and easy to use ..
I would like to insert in settings options to automatically change the color of the invoices every 15 -20 days .let say when the invoice goes 15 days old to automatically change in YELLOW ,then when is 30 days ORANGE ,45days old RED and on and on and on :) ;)",Invoicing
QuickBooks has made my business work like clockwork. I would need 2 additional employees if I didn’t have the efficient programming that they offer.,
Love quickbooks find it easy to use and easy to find things I need quick,
"I use the desktop version most of the time but when I need to use it when away, it’s really frustrating that the app shuts after every action making doing anything painfully cumbersome.",App
"This is the first time I am using this app and in keep getting stuck after every two, three transactions","App, Transactions"
It’s ok for beginners they still need to improve it,
"Was intending to transfer all of my business computing over to my more than capable IPad Pro. Intuit seems to have other ideas. 
Unable to run my business with the QuickBooks software with the app or through the browser. 
A very unsatisfactory situation having my computing need dictated by intuit.
Will change software as soon as practical.",App
"Pathetic system, slow glitches. Doubles up invoice payments.
Won’t let you load more than one picture at a time.",Quality
RT,
The app has a great potential to replace the web version. However i do not understand why most of the features aren't in the app. I can't attach a PDF file to an invoice!! Why? .. or I cant send an statement with the app.. why not ? .. why cant add company seal and stamp on the invoices ? iPad is a very capable device.. the app should bring all the features of the online version.,"App, Invoicing, Dashboard"
"I have tried to use the app for sometime but find the functionality limited and not sufficient to be practical.

In recent weeks I have had an issue switching clients which support has been unable to resolve.

I am deleting the app & will use the web version.","App, Customer Service"
"Brilliant I would highly recommend to anyone 10 out of 10. Certainly made my life and running my small business easier.
Well done and many thanks QuickBooks",Experience
QuickBooks makes running your own business easy! User friendly!,Experience
Enjoy most of the features but absolutely drives me insane that it doesn’t auto save. I’ll be working on a project get a phone call my iPad shuts down and I lose hours worth of work.,
"I did the latest update and now I can’t even open this damm app! Terrific ay! Any suggestions QB’s!? Can you get this sorted ASAP.

A few updates prior to this lasted one, after that particular update all my company details except my ABN disappeared, why? The app didn’t seem to save my details properly as I added them and it was like that until the following update. Then everything was back to normal.

Pretty annoying!!","Updates, App, Quality"
App won’t open and website is unresponsive.  Not very impressed with the program.,"Dashboard, App"
"1: ability to do ‘purchase orders’ in expenses
2: ‘void’ sales invoices","Invoicing, Quality"
Thank fou for this easy and convenient app to keep our business streamlined!,
I loved this application 😃,Updates
"I have used QuickBooks desktop for almost 20 years.  At one small company I work for, I use QB Online.  I feel that the app that goes with QBO is useless.  There is very little that you can actually do through the app and even reporting is limited.  And forget trying to change anything that was previously entered.  I would use QBO through the website on my iPad but that is not configured well either so I pretty much have to wait until I get to my laptop.  Don’t bother with this app.",App
Takes forever or even never to load,
"All I want this for is to issue and log invoices. I sent across my first invoice across last week, which has been paid by my client. Can I find the invoice on the system... no I cannot! There’s one saved in drafts, I have no idea why it’s as a draft! It is not a logical system, and something that should save me time has been fiddly and time consuming. I also don’t understand the various different quick books avail... so now I’m totally confused. It also looks like the support is in the USA... so the time difference doesn’t work!","Quality, Invoicing, Dashboard"
The biggest disappointment is NO ABILITY TO DO PURCHASE ORDERS. When I’m out in the field this is a HUGE disadvantage and I still have to break out the laptop!,Quality
Why even bother with this app? I can enter a bill from a sub or supplier on the website or the Mac app but can only enter paid expenses here? I can do everything I need to do with my business on my iPhone  without carrying an iPad or MacBook Air except use the QuickBooks app to enter or actually pay bills (only able to record bills already entered as paid). Please fix this (or just tell us you’re not fixing it) !!!,"App, Quality"
Errored out over and over. Nothing ever loaded.,
Very difficult to use. Setting it up was a nightmare,Experience
"Quickbooks is a system designed for people in business to streamline there activities. In doing so allowing their accounting processes to flow more effectively. 
Quickbooks has changed my business dramatically.
Thank you",
I have a small business. Quick book is ideal for records not have to spend a lot of time balancing books. Quick book does it for you. Every day you know where you stand profit and loss etc,
Quickbooks is a simple platform that allows a small business owner with excellent record keeping.,
"There is a lot of potential here but also problems.

Our accountant would like us to use this software yet some of the features don’t work on the mobile app and even on the website there are still many bugs. 

The biggest is only a few of the accounts created in Chart of Accounts are available. Most are not available in the App and even on the website are “greyed out” and off limits.",Quality
I need to be able to take a picture of my receipts and then when I do the books sort them out and match them to purchases.,Quality
Quickbooks is so easy to use and helps keep our small business organized and professional! I love that I can use the app on my phone for added convenience.,Experience
"- Need to add a new time entry? Nope! (Subscribe to another app, monthly, and hope it syncs properly!)
- Need to create a purchase order? Nope! (Wait until you can get back to the fat-app!)
- Need to look up unit cost on one of your products? Nope! (Why would you need that away from your desk?!)

So very typical of Intuit: 
- Good for accountants, terrible for entrepreneurs
- Build for Windows first, then anything non-Apple next, and *maybe* Apple last. But be sure it’s crippled in at least 87 ways.
- You’re holding it wrong

Oh, and don’t you love the new QBO “Advanced” that we auto-upgraded you to without your permission? It’s only 3x what you were paying before, and only after the first 90 days; aren’t you excited?! 

IT’S FRIGGIN’ 2019! WHY HAS NO ONE DISRUPTED THIS RIDICULOUS COMPANY OUT OF BUSINESS?!",App
I was horrified when I heard tax going digital but quickly got the hang of quick books and amazed it even tries to match things . Brilliant,Quality
"It’s works on all my devices except, not equally... Not being able to run payroll from any app is annoying, I can’t send receipts from my iPhone, but can with the iPad? Why even allow me to hit send a receipt from my phone if the send button is always grayed out? 🤷🏼‍♂️
QBO does a lot for my business but having to have a laptop, phone, and iPad with me just to use the program is frustrating sometimes, sometimes like just before I wrote this review... haha.",Transactions
"I have a brand new iPhone. I have tried to log onto QB at home, at work & without Wifi at all. I have never been able to log in. It always says downloading company info and just keeps loading. I never get in.",Quality
I have no idea how this app has a 4.7. You cant even edit transactions within this app. The worst part is that the website is completely broken on an iPad Pro. Together this makes quick books online completely unusable without a laptop. Absolute garbage.,"App, Quality"
"I keep having to uninstall app then reinstall because it gives me a black screen, then closes out. This is the 2nd time I’ve had to do this and it appears it may be a bug of sorts. Overall happy with the app but please fix this glitch.",Quality
"I use the app as my chosen QB solution, I had added customer logos and always attached my receipts. I have been having problems to edit my phone number within the app and was advised to uninstall/ reinstall by QB support. In doing so I have lost all my attachments from the app, they are online but do not sync back to the app. Highly frustrating as I’ve lost one of the key visual features particularly on my expenses.

The support from the original issue has been going on months and now this one a couple weeks but they never offer a real working solution.","Transactions, Quality, Receipt Capture, Expenses"
Where is the cost of the app.  You gave me all kind of information but not the price of the app!!???,App
Please add the ability to print or download packing slips from the mobile app.  Everything else can wait till I am back in the office.  Sometimes a packing slip must be done in a rush.  Mobile app is useless to me without the packing slip feature.,App
Perfect tool for the constant “in-motion” lifestyle I have.,
"Can’t accept transactions in banking section. Sluggish app, end up using the computer more often.",Transactions
Sometimes all the estimates and invoices don’t show up in the customers file when I go into it on the app.,"Estimates, Invoicing, Customer, App"
"Say they can transfer info from Sage into there software, no they can’t if you use stock codes what a waste of time.",App
Really need to add more things that are on desktop version. For example sending a statement to customer!,
Standard tech bait and switch. Used it for a number of years but the price just went up to far. They get you with a low initial rate and hook you once all you data is with them.,
"I’m not sure why QuickBooks decided to create an app that is so much different than the web version or the Mac version. Errors and limited information is all this thing is good for. And, if you decide you would rather just use the website, you pretty much get redirected to this junky app.",App
It would be nice to view all of the accounts in chart of accounts. Not just a few.,
"Easy way to keep track off all those expenses, invoices, payments etc for a small business owner with little time to spend on administrative stuff.","Expenses, Invoicing"
Does not work or match online version. We cant make it accurate or work correctly.  Do not use.,Quality
You can tell this is more for business that need to create invoices more than purchase orders. Desktop as well. I’ll give 4 stars when they add a PO feature to the app.,"Invoicing, Experience, App"
"Some of their custom support reps are amazing. Some don’t even know their own policies. 

I’ve had several different issues with them with several different companies and aspects of their platform and I’ll never use them again and recommend anyone to check other accounting softwares out before going to quick books as future risk and frustration mitigation.",Customer Service
"The good: I love how easy it is to use and it fits all my business needs. 

The bad: it takes way too long for the money to be deposited into my bank account. Most times I wait a week or more. Of course I can do it quicker with paying more fees but to me that's just another way for them to take advantage of it to make more money. I already pay a monthly usage fee, and then on top of that I pay transaction fees so for anymore fees, it's ridiculous. I stopped allowing customers to pay with credit cards because it was taking so much of my money from the fees. Being a very small business, I need as much of my money as possible so the fees add up quick. If there was another service out there that didn't take as much as they do, I would switch. Maybe I will start a new business offering the same service with a fraction of the costs. :)","Quality, Transactions"
"Le logo apparaît trop petit 
Le code de taxes tps et tvq n’affiche que le pourcentage de la tvq sur la facture",
Mas por favor criem a opção de exportar o orçamento direto pelo WhatsApp 🙏🏼🙏🏼🙏🏼,
When it’s working it’s working great. I’ve tried a couple different systems and QuickBooks is by far the best with invoicing and estimates and excepting payments which is why the rating goes as high as four stars but it often crashes because I think it tries to do too much. Also there is no way to change when the system starts counting days past due. You can set it for net 15 net 30 or whatever but it will start counting from when you create the invoice not when you send it. For me I create an invoice on Monday and continue to add through it throughout the week and I send it on Friday so by that point it already says it is past due five days so I have to set it as net 15 just to not make it scream at me,"Estimates, Quality, Invoicing"
"Doesn’t even open, tried many times opening it on my IPhone X for weeks. It doesn’t even open the app and there hasn’t been an update to fix that for ages. Unable to use it on my phone and having to use it on my laptop which I don’t always have it on hand. Please fix this issue.",Quality
"When creating an invoice adding parts even if you search when you go back to it to add another part it’s still in that same form from before and if you cancel nothing happens you would have to search for whatever else you want by name, you can’t just scroll please fix","Invoicing, Estimates"
... I’d like to be able to SCHEDULE invoices to be sent out on later dates AND set up automatic recurring invoices as I supply weekly subscribed services to my clients.,Invoicing
Since the April 25th update bank sync is not working.  I called tech support and they say they are working on it.  No news yet after one week.,Customer Service
Just brilliant ⭐️⭐️⭐️⭐️⭐️,
"This app won’t let you unsubscribe. Forgot my password and tried all ways to access my account, but they won’t send me a verification code in my phone. I have exhausted all efforts to change my password and log in, but to no success. I reached out to their failure of a customer service representative, didn’t help either! Scam!",App
"I’m huge QuickBooks fan, but not for this version! What a time destroyer! After downloading the app and adding my content along with driving and really enjoying the mile aspect of this, it failed me after just 3 days! What a waste of time. Unless you have unlimited time to waste and money to spend, I suggest staying away from this app for now! Perhaps they can get it together but I’m giving 2 thumbs down... oh and they don’t even offer phone support so don’t expect any help answering questions as it relates to this buggy software. STAY AWAY!!","Quality, App"
SPAMS YOUR EMAIL,
"First of all I am 10 years with QuickBooks,
I have an online account as well for 5 years! 
I have contact QuickBooks to resolve an Issue I have , but QuickBooks aren’t professionals!! And telling me how to fix but without success! Not only that!! They ruined my whole product list! And I can’t fix it because it’s a 2-3 days of working because of their stupid advises Im about to loose nine years of business background (transaction history) ! 
And for That I’m not going to work with them again, And advise everybody else to be careful","Quality, Transactions"
"Deberían dar acceso a inventario. Aún que sea sin los reportes, para dar una mejor experiencia al usuario  y enamorarlo más
De app",App
"I just started using this app while traveling. It doesn’t compare to the site on my PC. Very unfriendly and difficult to impossible to bring up to date.much incomplete data.

Need to go to work on this one of its to be useful.","App, Quality"
Never is up to date loads so slow a total waist of money.,Quality
It’s easy to use. I love it!!!,
So simple to use and makes more time free for myself,
The app was okay with its limits. But now it won’t even open my company profile.,App
"This app was really promising at first, but now it seems like I consistently have issues with chase bank accounts and AMERICAN Express accounts updating.  It’s Monday and sine Thursday my alchase accounts say they are updated when they are not and my AMEX continuously has error connections.  And then u call customer service and they ask you if YOU called AMEX to see why there was a connection problem.  

A shame.","App, Experience, Quality, Payroll"
"So many problems I don’t even know where to start.  I transferred my desktop version to online with the last year and half reconciled.   I know have to go back and reconcile AGAIN.  

Also - it keeps crashing.  

There are good things about it but overall not so happy with the software.","Quality, App"
"QuickBooks has changed the way we do business. As a small business, such tools are so vital for the day to day running of your business. QuickBooks has truly been a revelation for us at Blink Mode Recording Studio.",Transactions
I wish there was a way to customize the due date. I need 7 or 10 term limit,
Luego de buscar y evaluar distintas opciones disponibles de CRM | QuickBooks superó nuestras expectativas por su fácil operación y acceso a la data,
"Making more money!!
Enjoying more time off!!",
"I recently acquired an iPad Pro to use for my business and instantly downloaded QuickBooks to use on the go. This app has been wonderful for sending invoices, logging my expenses, and managing the books in general. So far, I have yet to experience a crash and everything has been working well for my needs!","App, Invoicing, Expenses"
"This is a great app and has lots of functionality which is awesome. I can see my day to day company accounting actually being easy using this however I can’t actually accept bank transactions to reconcile an expense for example. Big shame as it’s a great thing to do when stuck somewhere with just my phone and the functionality is clearly there, it just doesn’t work for me for some reason. It works fine in my browser and support have been great in assuring me that it’s being looked at but it’s making me think twice about committing to QuickBooks after my trial ends. Fingers crossed for an app update soon to fix it.
*UPDATE* This issue has been resolved with the latest version and the support team were really good throughout. Extra star because of this! Thanks developers.","Transactions, Updates, Quality, Customer Service"
Invoices from suppliers can not be captured on the app. You have to log onto the main website - which is extremely slow and cluttered to navigate on a mobile phone.,"Estimates, App, Quality"
"It really surprises me that a big company like intuit/quickbooks couldn’t come up with something that worked. The app is almost completely useless. I installed it, tried to do some basic stuff on it and couldn’t so I deleted it. Please intuit you have to have someone that can build you a better app!!",Quality
"I signed up for my business, never got around to using it.  I finally decided to cancel the account.  I had to call customer service because after an hour trying to figure it out I learned there is no way to cancel on the app.  On the call customer service “doesn’t have the tools” to cancel the account either.  I was sent to the website through safari to find out that there is no way to cancel or delete the account there either.  Thankfully the account was suspended according to the customer service representative eventually it will just disappear.  Great, that’s the best they can do.","Customer Service, Quality"
"I realized the feature that is supposed to “match” my manually entered transactions to those synced from my bank account has not been working properly. This has created a mess of my books due to duplicate entries of sales receipts and expenses. Quickbooks had one of their engineers investigate my issue and concluded it was indeed, a glitch in their system. I was advised to go back and manually re-enter my transactions. No small feat as I will have to spend considerable time and effort backtracking and attempting to rectify each entry dating back to mid-2018! They also indicated they could not reimburse my monthly payments for the service as Apple is a third party to whom monthly payments are made. So now I get to call Apple and try to facilitate a refund. The issue remains unresolved. Quickbooks’ best recommendation was to download the newest version slated to go live several weeks after my initial call to customer service. I can not operate my business this way.","Transactions, Expenses, Quality, Payroll, Customer Service"
"All I really want is something I can scan in my receipts with. They say they have this feature but they don’t. Even the free wave accounting app has this feature and now I’m left wondering what the point of paying for this service is with an alternative such as wave.. 

Not looking like I’ll be bothering to continue after this free trial if they can’t compete with a free alternative

Otherwise quite functional.","App, Subscription"
Real good for keep your business financial records in order.,
Best small business software ever. QBs has made my life so much better and my books are much more accurate🤗. Thank you for a user friendly accounting service.,"Experience, Payroll"
Wish I never started using this.,
When I first opened the app I was so excited.  I have been a quick book user for years and now everything is available at a touch from my iPad.  But the only thing that was missing was a place to put attachments from the banking screen.  So bummed hope this gets an update with the attachment feature.,Quality
QuickBooks features allow me to get organized with minimal effort so I can focus on big picture operations for growing my business.,Quality
The most obviously missing feature is time sheet support. The support team is also quite useless and closes cases without resolving them or providing any assistance.,"Customer Service, Experience, Customer"
"Really a great product at affordable price. Smart solutions to all accounting problems.Their Support team is very responsive and coordinating. I am really impressed with their “Reports” I was unable to assess my business stats the way it should be done, thanks to QB for making it so easy for us....👍
Great Product-Great Team
I highly recommend every businessman to use it, QB have made it so easy for us.
Thanks",Quality
For invoicing it will randomly not let you save what you just did. You can type a 1000 word description and it will make you refresh it. It gives you no choice. Then you have to type it all over again. It’s does what it wants not what you need it to do.,
"It is painfully obvious that intuit is solely focused on their own sales versus helping we entrepreneurs to grow ours. The update to the app is awful. Did they not get the memo about the world going mobile? The app is so limited that I’m close to deleting it. Then again I’m close to deleting intuit as this “power” thing in the online version is a total PITA and won’t go away apparently for at least 30 days. Why can’t I just decline it and be done? Answer: as I said, intuit is only focused on its own sales, not ours. 

I am experimenting with Xero as it does integrate with our PSA, Autotask. If it works out, I’m gone. 

And finally, we use QBO and Intuit’s payroll services. I ought not have to buy another premium product to be considered a valued customer. We pay Inuit way to much for these services already.","Quality, App"
"Seriously, how did business owners manage before QBO? Keep up the great work.",
Trying to do a new invoice but can’t see my products once I hit the + bottom,Invoicing
Easy to use and cuts out all the paperwork and spreadsheets,
Love it love it love it . Thank You,
"Very slow and painful to use, doesn’t let you bank any payments etc. Probably only useful for those who wish to produce very basic invoices",Quality
